date, symbol, under, expiration, strike, put/call, bid, ask, price, volume, open interest, implied vol, delta, gamma, rho, theta, vega, nonstd
2015-01-05,SPY7  150117C00164000,SPY,2015-01-17,164,C,35.5,40.23,43.5,0,35,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00165000,SPY,2015-01-17,165,C,34.5,39.23,30,0,15,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00170000,SPY,2015-01-17,170,C,29.5,34.25,34.51,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00175000,SPY,2015-01-17,175,C,24.5,29.25,32,0,14,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00180000,SPY,2015-01-17,180,C,19.55,24.3,17.83,0,15,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00181000,SPY,2015-01-17,181,C,18.58,23.33,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00182000,SPY,2015-01-17,182,C,17.6,22.34,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00183000,SPY,2015-01-17,183,C,16.6,21.35,13.65,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00184000,SPY,2015-01-17,184,C,15.63,20.38,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00185000,SPY,2015-01-17,185,C,14.65,19.39,19.05,2,2,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00186000,SPY,2015-01-17,186,C,13.68,18.43,17.65,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00187000,SPY,2015-01-17,187,C,12.7,17.45,16.65,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00188000,SPY,2015-01-17,188,C,11.75,16.49,16,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00189000,SPY,2015-01-17,189,C,10.85,15.59,8.85,0,12,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00190000,SPY,2015-01-17,190,C,9.85,14.5,10.93,0,12,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00191000,SPY,2015-01-17,191,C,8.95,13.7,13.49,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00192000,SPY,2015-01-17,192,C,8.03,12.78,10,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00193000,SPY,2015-01-17,193,C,7.1,11.85,10.66,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00194000,SPY,2015-01-17,194,C,6.2,10.95,11.6,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00195000,SPY,2015-01-17,195,C,5.5,10,13.45,0,2,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00196000,SPY,2015-01-17,196,C,4.33,9.08,8.81,0,18,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00197000,SPY,2015-01-17,197,C,3.65,8.39,11.43,0,25,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00198000,SPY,2015-01-17,198,C,2.78,7.6,3.62,0,10,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00199000,SPY,2015-01-17,199,C,1.9,6.88,9.27,0,7,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00200000,SPY,2015-01-17,200,C,2.84,6.01,6,0,3061,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00205000,SPY,2015-01-17,205,C,0.05,4.99,2.77,0,2435,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00210000,SPY,2015-01-17,210,C,0,0.5,0.59,0,169,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00215000,SPY,2015-01-17,215,C,0,0.32,0.2,0,66,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00220000,SPY,2015-01-17,220,C,0,4.99,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00225000,SPY,2015-01-17,225,C,0,4.99,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00230000,SPY,2015-01-17,230,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00235000,SPY,2015-01-17,235,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00240000,SPY,2015-01-17,240,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00245000,SPY,2015-01-17,245,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00250000,SPY,2015-01-17,250,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00255000,SPY,2015-01-17,255,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00260000,SPY,2015-01-17,260,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00265000,SPY,2015-01-17,265,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00270000,SPY,2015-01-17,270,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00275000,SPY,2015-01-17,275,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00280000,SPY,2015-01-17,280,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00285000,SPY,2015-01-17,285,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00290000,SPY,2015-01-17,290,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00295000,SPY,2015-01-17,295,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117C00300000,SPY,2015-01-17,300,C,0,0,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00120000,SPY,2015-01-17,120,P,0,4.99,0.25,0,14,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00125000,SPY,2015-01-17,125,P,0,4.99,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00130000,SPY,2015-01-17,130,P,0,0.25,0.34,0,685,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00131000,SPY,2015-01-17,131,P,0,4.99,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00132000,SPY,2015-01-17,132,P,0,4.99,0,0,368,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00133000,SPY,2015-01-17,133,P,0,4.99,6.55,0,72,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00134000,SPY,2015-01-17,134,P,0,4.99,0.2,0,10,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00135000,SPY,2015-01-17,135,P,0,4.99,2.3,0,138,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00136000,SPY,2015-01-17,136,P,0,4.99,5.56,0,207,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00137000,SPY,2015-01-17,137,P,0,4.99,7.57,0,254,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00138000,SPY,2015-01-17,138,P,0,4.99,5.99,0,31,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00139000,SPY,2015-01-17,139,P,0,4.99,6.11,0,10,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00140000,SPY,2015-01-17,140,P,0,4.99,0.05,0,222,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00141000,SPY,2015-01-17,141,P,0,4.99,8.76,0,148,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00142000,SPY,2015-01-17,142,P,0,4.99,6.95,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00143000,SPY,2015-01-17,143,P,0,4.99,7.16,0,1,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00144000,SPY,2015-01-17,144,P,0,4.99,10.22,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00145000,SPY,2015-01-17,145,P,0,4.99,4.78,0,324,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00146000,SPY,2015-01-17,146,P,0,4.99,6,0,38,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00147000,SPY,2015-01-17,147,P,0,4.99,8.21,0,1,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00148000,SPY,2015-01-17,148,P,0,4.99,9.3,0,2,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00149000,SPY,2015-01-17,149,P,0,4.99,0,0,0,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00150000,SPY,2015-01-17,150,P,0,4.99,3.4,0,75,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00151000,SPY,2015-01-17,151,P,0,4.99,0.85,0,208,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00152000,SPY,2015-01-17,152,P,0,4.99,0.18,0,127,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00153000,SPY,2015-01-17,153,P,0,4.99,5.5,0,50,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00154000,SPY,2015-01-17,154,P,0,4.99,5.3,0,376,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00155000,SPY,2015-01-17,155,P,0,4.99,2.25,0,712,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00156000,SPY,2015-01-17,156,P,0,4.99,0.54,0,537,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00157000,SPY,2015-01-17,157,P,0,4.99,8.9,0,720,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00158000,SPY,2015-01-17,158,P,0,4.99,0,0,424,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00159000,SPY,2015-01-17,159,P,0,4.99,9.55,0,87,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00160000,SPY,2015-01-17,160,P,0,4.99,0.01,0,773,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00161000,SPY,2015-01-17,161,P,0,4.99,7.45,0,67,0.113826,0,0,0,0,0,7
2015-01-05,SPY7  150117P00162000,SPY,2015-01-17,162,P,0,4.99,0.57,0,330,0.113826,0,0,0,0,0,7
